,tweet,hate_speech,offensive_language,neither,class
0,!!! as a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0,0,1,2
1,!!!!! boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0,1,0,1
2,!!!!!!! rt <user> dawg!!!! you ever fuck a bitch and she start to cry? you be confused as shit,0,1,0,1
3,!!!!!!!!! <user> she look like a tranny,0,1,1,1
4,!!!!!!!!!!!!! the shit you hear about me might be true or it might be faker than the bitch who told it to ya <sym> ,0,1,0,1
5,"!!!!!!!!!!!!!!!!!!""<user>: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! <sym> <sym> <sym> """,1,1,0,1
6,"!!!!!!""<user>: i can not just sit up and hate on another bitch .. i got too much shit going on!""",0,1,0,1
7,!!!!<sym> <user>: cause i'm tired of you big bitches coming for us skinny girls!!<sym> ,0,1,0,1
8,""" &amp; you might not get ya bitch back &amp; thats that """,0,1,0,1
9,""" <user> :hobbies include: fighting mariam""

bitch",1,1,0,1
10,""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh",0,1,0,1
11,""" murda gang bitch its gang land """,0,1,0,1
12,""" so hoes that smoke are losers ? "" yea ... go on ig",0,1,1,1
13,""" bad bitches is the only thing that i like """,0,1,0,1
14,""" bitch get up off me """,1,1,0,1
15,""" bitch nigga miss me with it """,0,1,0,1
16,""" bitch plz whatever """,0,1,0,1
17,""" bitch who do you love """,1,1,0,1
18,""" bitches get cut off everyday b """,0,1,0,1
19,""" black bottle &amp; a bad bitch """,0,1,0,1
20,""" broke bitch cant tell me nothing """,0,1,0,1
21,""" cancel that bitch like nino """,0,1,0,1
22,""" cant you see these hoes wont change """,0,1,0,1
23,""" fuck no that bitch dont even suck dick "" <sym> <sym> <sym>  the kermit videos bout to fuck ig up",0,1,0,1
24,""" got ya bitch tip toeing on my hardwood floors "" <sym>  <url>",0,1,0,1
25,""" her pussy lips like heaven doors "" <sym> ",0,1,1,1
26,""" hoe what its hitting for """,0,1,0,1
27,""" i met that pussy on ocean dr . i gave that pussy a pill "" <sym> ",0,1,0,1
28,""" i need a trippy bitch who fuck on hennessy """,0,1,0,1
29,""" i spend my money how i want bitch its my business """,0,1,0,1
30,""" i txt my old bitch my new bitch pussy wetter """,0,1,0,1
31,""" i'd say im back to the old me but my old bitches would get excited "" <sym> ",0,1,0,1
32,""" if you aint bout that murder game pussy nigga shut up """,0,1,0,1
33,""" if you're toes ain't done you pussy stinks """,0,1,0,1
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0,1,0,1
35,""" is that ya bitch """,0,1,0,1
36,""" it aint nothing to cut a bitch off """,0,1,0,1
37,""" jus meet son now he ya mane ass bitches "" #shots",0,1,0,1
38,""" lames crying over hoes thats tears of a clown """,0,1,1,1
39,""" like snoop said in 94 we dont love these hoes """,0,1,0,1
40,""" momma said no pussy cats inside my doghouse """,0,1,1,2
41,""" most hated but the hoes favorite "" #2mw #sevenone # <url>",0,1,0,1
42,""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" <url>",0,1,0,1
43,""" pimps up pimps up hoes down "" future voice",0,1,0,1
44,""" post a picture of that pussy get 200 likes """,0,1,0,1
45,""" pussy is a powerful drug "" <sym>  #happyhumpday <url>",0,1,0,1
46,""" quick piece of pussy call it a drive by """,0,1,0,1
47,""" running round here like some brand new pussy thats bout to get fucked """,0,1,0,1
48,""" these bitches even worst they'll send them guys for you """,0,1,0,1
49,""" these hoes like niggas that spend money not talk bout it """,1,1,0,1
50,""" we dont trust these niggas all these bitches """,1,1,0,1
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0,1,0,1
52,""" you dodge a bullet "" <sym>  <sym> <user>: ""all da bitches i cut off pregnant or bound to be ....thank god <sym> ""<sym> ",0,1,0,1
53,""" young pill chamberlain these bitches love my music """,0,1,0,1
54,"""<sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <user>: teanna trump probably cleaner than most of these twitter hoes but.........""",0,1,1,1
55,"""<sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <sym> <user>: gay niggas couldn't wait to act like bitches tonight""",0,1,0,1
56,"""<sym> <sym> <sym> <user>: and ima steal his cat n replace it with a pitbull <sym> <sym> <sym> <sym>  <user> he a bitch you should do it""",0,1,0,1
57,"""&amp; he's gone always be a hoe""",0,1,0,1
58,"""...son of a bitch took my tic tacs.""

i like this movie.",0,1,0,1
59,"""..all i wanna do is get money and fuck model bitches!"" - russell simmons",0,1,0,1
